0,37,30,35,26,16,0,7,43,16,18,45,28,27,0,12,23,21,4,31,30,0,40,46,7,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,8,0,29,8,33,0,51,19,51,29,48,0,18,20,35,0,53,22,48,0,10,41,8,26,54,55,34,54
58,0,48,44,20,9,60,27,2,23,10,0,1,36,57,57,13,23,57,2,20,22,16,18,44,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,38,39,0,17,51,0,36,0,0,63,2,40,24,58,36,51,7,30,50,24,52,2
43,26,0,51,24,11,56,44,41,54,0,30,16,17,20,6,21,48,25,20,11,57,30,62,5,54,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,35,0,47,49,34,21,53,39,34,5,24,54,33,24,22,48,23,24,25,3,37,58,41
34,31,47,0,28,37,60,20,57,10,39,57,27,44,50,45,4,43,6,53,47,3,0,43,5,15,16,20,26,0,0,0,0,0,0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,31,47,7,38,0,38,43,30,0,4,5,6,8,41,28,43,1,60,27,44
0,14,53,30,0,42,0,25,38,61,28,0,0,49,3,32,23,0,32,46,15,52,15,37,9,58,9,14,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,9,59,7,0,40,34,4,52,0,35,35,23,59,11,17,33,40,3,4,43
0,36,55,44,56,0,48,0,5,30,43,37,0,6,35,25,27,0,48,12,5,30,11,4,36,17,36,5,47,1,28,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,9,26,51,52,60,35,39,37,48,34,0,52,59,30,54,29,44,3,36,0
0,62,51,9,0,16,0,58,8,17,46,3,13,26,12,6,18,20,60,9,33,29,62,0,33,57,39,0,59,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,44,0,0,41,20,12,40,59,35,28,0,0,0,53,0
39,0,0,46,38,0,2,0,36,46,18,59,24,35,6,27,22,43,19,12,32,52,12,53,4,6,28,31,0,11,40,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,16,0,0,0,46,43,32,36,38,50,33,0,33,2,4,7,0,31,40,48,35,62
48,24,59,25,0,49,39,49,0,26,33,32,35,42,43,56,0,25,19,24,0,26,0,6,53,23,33,49,37,55,54,30,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,37,58,38,5,0,43,60,22,28,7,59,25,6,28,37
49,19,22,59,7,49,57,3,6,0,13,49,20,0,21,16,31,0,5,49,21,22,33,8,0,29,37,36,17,0,55,44,27,33,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,50,0,0,10,26,16,0,29,1,58,0,51,53,38,48,17
