0,35,5,2,27,0,13,13,0,0,8,38,34,48,1,6,24,0,0,0,4,44,50,0,0,21,38,8,54,0,61,0,36,0,2,47,15,35,0,0,39,25,3,38,5,0,22,0,51,21,37,54,54,18,0,27,38,5,11,34,0,40,25,2,2,0,34,0,29,6,0,0,0,17,47,5,23,0,0,0,37,54,0,0,25,30,25,45,49,0,17,0,14,14,12,0,0,15,25,54,8,14,8,0,0,0,0,15,19,49,0,21,0,56,12,0,10,48,0,26,37,37,3,26,44,22,0,51,18,0,5,4,40,0,49,11,0,22,0,0,0,0,29,30,30,0,0,55,0,49
1,0,0,0,0,16,21,16,0,11,10,0,36,0,0,0,55,0,0,42,3,0,16,12,27,6,36,0,20,48,9,25,0,0,0,4,1,0,9,23,0,51,30,42,0,38,0,35,17,33,57,7,0,0,0,32,7,49,0,0,28,0,0,55,37,50,26,0,0,0,43,17,5,0,7,32,10,18,0,8,0,3,0,11,0,53,0,15,0,1,7,0,9,1,33,21,1,41,15,49,38,35,0,8,0,14,36,28,0,8,23,45,53,8,0,0,36,2,38,47,17,0,53,0,0,0,29,0,6,21,13,42,5,0,47,0,9,45,0,1,26,11,9,0,0,0,39,30,14,42
11,9,0,0,4,0,0,0,35,28,50,0,39,0,16,29,38,30,0,54,0,49,0,0,40,0,34,54,0,3,17,56,11,23,0,11,30,0,0,0,6,0,33,46,0,11,17,7,0,53,10,10,6,0,6,3,0,52,9,23,47,8,15,3,12,0,0,14,7,27,26,50,37,2,0,5,29,13,26,46,13,0,30,2,38,29,0,54,14,11,46,2,0,21,0,30,49,10,53,42,16,20,11,19,0,0,23,34,56,51,3,53,41,8,42,0,4,0,2,3,0,33,27,0,35,0,17,0,28,55,51,0,2,35,0,30,48,0,0,0,10,24,13,44,46,0,25,2,7,20
35,39,0,0,0,0,32,10,8,6,35,16,0,0,0,0,0,4,14,0,6,12,16,1,50,11,0,41,40,0,30,9,0,21,0,0,0,24,0,46,0,0,0,34,57,47,6,40,42,20,17,56,0,0,0,32,0,20,31,0,43,0,7,4,33,40,15,0,0,39,16,0,35,8,49,0,17,12,15,10,53,13,61,0,25,24,13,30,50,5,0,0,0,0,19,1,49,56,24,0,0,8,6,55,0,1,0,1,0,0,19,0,0,20,34,27,51,26,29,55,53,0,49,50,7,0,0,53,20,35,0,55,0,6,0,6,33,53,13,0,6,34,0,0,0,0,15,9,33,0
2,19,0,34,0,4,7,0,0,7,3,38,20,0,13,6,0,53,56,0,0,40,19,0,43,0,52,33,51,3,0,0,12,0,0,8,0,4,0,53,50,5,32,0,0,0,29,33,11,0,0,0,0,13,10,0,0,0,36,1,19,0,0,0,0,20,0,0,40,38,1,0,32,38,13,37,0,0,23,0,6,29,35,0,40,32,28,50,5,22,47,32,0,0,25,44,30,3,0,0,0,0,38,47,24,2,11,49,9,0,6,20,20,28,23,0,41,8,7,24,26,0,42,6,6,53,19,0,0,4,21,15,0,0,11,0,5,1,58,0,47,44,53,0,49,5,45,6,21,0
0,0,32,0,14,0,27,54,48,49,0,0,0,8,25,20,0,36,0,39,18,57,1,38,13,38,42,0,4,0,3,37,35,0,0,21,49,44,0,10,6,8,46,0,8,0,0,26,34,1,43,33,0,0,35,23,41,0,0,0,53,24,43,0,48,0,0,5,51,0,36,22,0,4,0,6,22,14,0,0,19,0,0,0,40,10,53,0,0,0,0,0,12,0,18,36,45,0,17,0,54,20,0,47,0,0,19,44,12,35,0,0,41,13,0,0,5,6,16,26,7,0,43,3,0,24,39,0,23,7,31,16,16,0,12,44,0,28,23,0,6,1,46,10,0,18,12,38,0,31
33,39,3,0,0,51,0,42,2,7,21,45,0,24,0,19,6,18,2,39,11,0,18,0,0,0,18,0,19,0,0,0,0,31,50,0,0,0,48,0,4,0,12,16,49,8,28,12,0,0,17,0,0,52,14,52,30,39,7,6,56,16,0,0,0,0,18,29,0,6,28,36,56,10,0,40,0,42,0,29,0,14,0,0,0,55,36,41,34,0,0,12,20,0,30,8,0,0,2,50,43,0,0,35,21,21,31,4,17,0,0,0,30,26,24,52,29,35,42,30,0,10,0,0,12,42,60,0,28,48,0,0,15,24,47,0,12,0,0,8,14,34,39,0,0,35,36,55,55,36
0,21,53,27,52,51,0,0,0,0,36,0,0,41,3,4,0,28,0,9,0,38,40,9,46,5,0,47,39,35,26,0,22,0,49,15,0,0,0,0,0,9,27,0,46,37,21,19,43,56,41,24,0,0,58,47,27,47,29,58,1,33,39,0,16,0,0,0,0,50,0,0,0,0,36,0,0,35,0,10,23,25,18,41,0,27,32,35,4,0,9,20,0,0,48,0,0,34,7,32,0,0,57,30,24,29,11,0,12,31,0,0,7,26,0,47,0,27,28,55,38,15,51,0,0,0,21,50,62,17,29,0,51,0,20,2,40,42,48,0,27,41,50,0,25,37,0,7,15,56
0,1,0,9,30,5,0,0,0,1,0,0,0,21,46,0,49,0,49,0,19,27,0,13,0,56,32,0,0,46,39,6,44,0,0,27,51,31,0,0,0,0,0,32,0,28,51,51,20,30,54,0,38,31,40,49,35,40,24,0,24,0,26,50,0,0,4,0,29,0,30,0,0,0,51,0,3,42,26,10,23,5,49,10,0,43,25,7,15,31,46,0,27,30,8,30,34,41,0,0,0,37,3,0,0,38,38,8,5,5,0,6,22,0,30,50,0,0,0,0,19,21,17,0,0,31,21,45,19,0,37,33,0,0,52,27,17,8,49,0,0,0,12,0,0,0,0,57,0,41
27,0,4,0,25,46,0,0,32,0,44,24,52,0,0,48,0,21,5,0,25,0,20,0,0,10,21,14,35,24,0,0,56,57,53,1,2,0,50,46,20,22,7,51,0,0,0,25,0,42,16,0,28,0,0,28,25,46,38,2,0,0,0,0,10,10,47,56,0,1,39,0,28,51,14,8,24,37,25,45,0,50,6,29,7,2,40,5,0,1,33,0,57,25,40,5,39,49,52,46,0,5,48,1,31,43,44,21,44,21,0,0,47,53,0,55,37,10,42,0,0,51,22,0,20,18,28,24,0,52,44,51,30,29,11,0,17,42,33,25,51,0,28,0,38,0,17,40,42,17
